,0,precio,combustible,CV,km,lugar,año,link
99,Seat León,17.900 €, 1.4 TSI ACT S&S FR 150,  Gasolina,"                              Coruña, A             ",                                  2017             ,                 51.900 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-14-tsi-act-s_s-fr-150-en-coruna+a.htm?id=6813161
100,                 Peugeot 208  1.2 Puretech S&S             ,14.995 €, Gasolina, 75 cv,                 0 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-pack-75-en-valencia.htm?id=6813121
101,                 Peugeot 208  1.5 BlueHDi S&S             ,17.995 €, Diesel, 100 cv,                 0 km             ,                  Valencia             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-15-bluehdi-s_s-active-pack-100-en-valencia.htm?id=6813109
102,                 Peugeot Expert  Fg. Standard             ,15.694 €, Diesel, 95 cv,                 100.499 km             ,                  Sevilla             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-16bluehdi-premium-95-en-sevilla.htm?id=6812767
103,                 Citroen e- M Feel 50kWh             ,37.000 €, Eléctrico, 136 cv,                 304 km             ,                  Alicante             ,                  2021             ,https://www.coches.com/km0/seminuevo-citroen-spacetourer-e--m-feel-50kwh-en-alicante.htm?id=6812323
104,                 Citroen C4  1.5 BlueHDI S&S Feel             ,22.700 €, Diesel, 130 cv,                 17.633 km             ,                  Alicante             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-15-bluehdi-s_s-feel-pack-eat8-130-en-alicante.htm?id=6812319
105,                 Peugeot 3008  1.5BlueHDi Active             ,25.500 €, Diesel, 130 cv,                 0 km             ,                  Valladolid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-3008-15bluehdi-active-pack-s_s-130-en-valladolid.htm?id=6811941
106,                 Mercedes EQA  250             ,56.395 €, Eléctrico, 190 cv,                 0 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-mercedes-eqa-250-en-madrid.htm?id=6811239
107,                 Peugeot 308  1.2 PureTech S&S             ,22.154 €, Gasolina, 130 cv,                 2 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-308-12-puretech-s_s-active-pack-130-en-madrid.htm?id=6811065
108,                 Fiat Talento  1.6 Ecojet Base Corto             ,20.500 €, Diesel, 120 cv,                 44.000 km             ,                  Guadalajara             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-16-ecojet-base-corto-12-89kw-en-guadalajara.htm?id=6811017
109,                 Peugeot 3008  1.2 S&S PureTech             ,30.856 €, Gasolina, 130 cv,                 2 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-3008-12-s_s-puretech-allure-pack-130-en-madrid.htm?id=6810993
110,                 Peugeot 208  1.2 Puretech S&S             ,14.229 €, Gasolina, 75 cv,                 2 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-75-en-madrid.htm?id=6810747
111,                 Audi A6  2.0TDI quattro             ,25.500 €, Diesel, 190 cv,                 93.000 km             ,                  Murcia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-20tdi-quattro-s-tronic-140kw-en-murcia.htm?id=6810105
112,                 Fiat Dobló  Cargo 1.3Mjt Base             ,9.980 €, Diesel, 90 cv,                 87.000 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-maxi-66kw-e5+-en-madrid.htm?id=6810029
113,                 Renault Captur  TCe GPF Limited             ,15.500 €, Gasolina, 90 cv,                 22.640 km             ,                  Murcia             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-gpf-limited-66kw-en-murcia.htm?id=6809429
114,                 Peugeot 308  1.5BlueHDi S&S             ,16.400 €, Diesel, 100 cv,                 36.793 km             ,                  Alicante             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-15bluehdi-s_s-active-pack-100-en-alicante.htm?id=6807039
115,                 Kia Rio  1.0 T-GDi MHEV iMT             ,16.500 €, Gasolina, 100 cv,                 6.997 km             ,                  Alicante             ,                  2021             ,https://www.coches.com/km0/seminuevo-kia-rio-10-t-gdi-mhev-imt-drive-100-en-alicante.htm?id=6807027
116,                 Toyota Verso  130 Advance 5pl.             ,14.500 €, Gasolina, 132 cv,                 65.000 km             ,                  Tarragona             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-5pl-en-tarragona.htm?id=6806927
117,                 Peugeot 3008  1.5BlueHDi Allure             ,28.800 €, Diesel, 130 cv,                 7.101 km             ,                  Alicante             ,                  2021             ,https://www.coches.com/km0/seminuevo-peugeot-3008-15bluehdi-allure-pack-s_s-130-en-alicante.htm?id=6804186
118,                 Peugeot 208  1.2 PureTech Access             ,12.200 €, Gasolina, 82 cv,                 51.620 km             ,                  Alicante             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-access-82-en-alicante.htm?id=6804184
119,                 Peugeot 208  1.2 PureTech Allure             ,10.700 €, Gasolina, 82 cv,                 89.959 km             ,                  Alicante             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-allure-82-en-alicante.htm?id=6804180
120,                 Volkswagen Polo  1.0 TSI Advance             ,16.446 €, Gasolina, 95 cv,                 46.000 km             ,                  Badajoz             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-tsi-advance-70kw-en-badajoz.htm?id=6803840
121,                 Citroen C4  Picasso 1.6BlueHDi             ,11.490 €, Diesel, 100 cv,                 117.224 km             ,                  Cantabria             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-seduction-100-en-cantabria.htm?id=6803826
122,                 Opel Mokka  X 1.4T S&S Selective             ,13.990 €, Gasolina, 140 cv,                 31.208 km             ,"                  Rioja, La             ",                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-selective-4x2-en-rioja+la.htm?id=6803684
123,                 Skoda Rapid  1.6TDI CR Active             ,11.900 €, Diesel, 90 cv,                 103.500 km             ,"                  Palmas, Las             ",                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-active-dsg-66kw-en-palmas+las.htm?id=6801748
124,                 Nissan Qashqai  1.5dCi Tekna+ 4x2             ,21.990 €, Diesel, 115 cv,                 45.000 km             ,"                  Palmas, Las             ",                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-tekna+-4x2-85kw-en-palmas+las.htm?id=6801638
125,                 Mazda Mazda5  2.0CRTD Sportive             ,6.600 €, Diesel, 143 cv,                 190.000 km             ,                  Granada             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda5-20crtd-sportive-143-en-granada.htm?id=6801486
126,                 Bmw Serie 2 216d Active Tourer             ,14.310 €, Diesel, 116 cv,                 165.250 km             ,                  Valencia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+2-216d-active-tourer-en-valencia.htm?id=6799136
127,                 Peugeot 3008  1.5BlueHDi Allure             ,32.500 €, Diesel, 130 cv,                 10 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-3008-15bluehdi-allure-pack-s_s-eat8-130-en-madrid.htm?id=6798582
128,                 Toyota Corolla  Sedán 125H Active             ,19.990 €, Híbrido, 122 cv,                 25.200 km             ,                  Badajoz             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-corolla-sedan-125h-active-tech-en-badajoz.htm?id=6798460
129,                 Renault Captur  TCe Energy Zen             ,15.990 €, Gasolina, 120 cv,                 48.000 km             ,                  Badajoz             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-energy-zen-87kw-en-badajoz.htm?id=6798430
130,                 Nissan Micra  1.0 G Acenta 73             ,8.500 €, Gasolina, 73 cv,                 63.400 km             ,                  Badajoz             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-10-g-acenta-73-en-badajoz.htm?id=6798358
131,                 Peugeot 2008  1.5BlueHDi S&S             ,23.990 €, Diesel, 110 cv,                 5 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-2008-15bluehdi-s_s-allure-110-en-madrid.htm?id=6798218
132,                 Lexus NX  300h Business             ,29.990 €, Híbrido, 197 cv,                 37.100 km             ,                  Badajoz             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-lexus-nx-300h-business-navigation-2wd-en-badajoz.htm?id=6798048
133,                 Land Rover  2.0TD4 SE 4WD Aut.             ,41.900 €, Diesel, 150 cv,                 32.113 km             ,                  Barcelona             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20td4-se-4wd-aut-150-en-barcelona.htm?id=6797896
134,                 Volkswagen  2.0TDI Advance             ,23.495 €, Diesel, 150 cv,                 83.000 km             ,                  Granada             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-advance-110kw-475-en-granada.htm?id=6797596
135,                 Peugeot 3008  1.5BlueHDi Allure             ,25.500 €, Diesel, 130 cv,                 13.380 km             ,                  Barcelona             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-15bluehdi-allure-pack-s_s-130-en-barcelona.htm?id=6795932
136,                 Citroen C4  1.2 PureTech S&S             ,15.900 €, Gasolina, 110 cv,                 64.310 km             ,                  Valencia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-feel-edition-110-en-valencia.htm?id=6795108
137,                 Ford EcoSport  1.0 EcoBoost ST Line             ,16.990 €, Gasolina, 140 cv,                 27.000 km             ,                  Zaragoza             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-st-line-140-en-zaragoza.htm?id=6794960
138,                 Opel Grandland  1.5CDTi S&S Ultimate             ,23.409 €, Diesel, 130 cv,                 26.250 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-grandland+x-15cdti-s_s-ultimate-130-at8-en-madrid.htm?id=6788818
139,                 Renault Trafic  Furgón 29 L2H1 dCi             ,18.475 €, Diesel, 95 cv,                 116.342 km             ,                  Sevilla             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-70kw-en-sevilla.htm?id=6788074
140,                 Renault Scénic  1.5dCi Edition One             ,14.650 €, Diesel, 110 cv,                 85.635 km             ,                  Sevilla             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-edition-one-81kw-en-sevilla.htm?id=6787676
141,                 Peugeot 5008  1.5BlueHDi S&S             ,22.990 €, Diesel, 130 cv,                 77.500 km             ,                  Castellon             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-5008-15bluehdi-s_s-allure-eat8-130-en-castellon.htm?id=6787480
142,                 Citroen C3  1.2 PureTech S&S             ,15.700 €, Gasolina, 110 cv,                 15.326 km             ,                  Alicante             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-12-puretech-s_s-shine-110-en-alicante.htm?id=6784296
